#Organikoa,Funtzionala,Ekonomikoa,Azalpena,Hasierako kreditua,Behin betiko kreditua,Behartua
015501,3322,12100,Funtzionarioen ordainsari osagarriak,176005.0,176005.0,196622.28
015501,3322,14100,"Langileak, beste",43058.0,43058.0,81765.61
015501,3322,16000,"Gizarte Segurantza, enpresaren kontura",97776.0,97776.0,135322.37
015501,3322,16500,"Elkarkidetzako kuotak, Udalaren kontura",152.0,152.0,4747.12
015501,3322,22699,Artxiboko kontserbazio-gastu materialak,6800.0,6800.0,6731.05
015501,3322,22752,Udal artxiboko kontratuak,43000.0,120000.0,119996.58
015502,3391,12000,Funtzionarioen oinarrizko ordainsariak,187395.0,187395.0,192052.61
015502,3391,12100,Funtzionarioen ordainsari osagarriak,252649.0,252649.0,247684.92
015502,3391,14100,"Langileak, beste",173758.0,173758.0,223638.45
015502,3391,16000,"Gizarte Segurantza, enpresaren kontura",169594.0,169594.0,182471.49
015502,3391,16500,"Elkarkidetzako kuotak, Udalaren kontura",620.0,620.0,13340.84
015502,3391,22624,Folklore akademiako programazio-gastuak,28000.0,30000.0,29936.83
015502,3391,22625,Folklore Akademiaren musika udalekuak,60000.0,60000.0,59993.02
015502,3391,22757,Folklore Akademiako zerbitzu-enpresak,21582.0,21582.0,21552.27
015503,3301,20103,Alokairuak,45000.0,45000.0,43592.69
015503,3341,22605,Erakusketa lekuak dinamizatzea,34300.0,35375.29,35635.06
015503,3341,22635,Azkena Rock jaialdia,270000.0,280000.0,280000.0
015503,3341,22652,Beste kultura-jarduera batzuk,64000.0,64000.0,63921.55
015503,3341,22653,Kultura-zabalkundea,18000.0,25000.0,25155.0
015503,3341,22654,Kultura-estrategia,3000.0,0.0,0.0
015503,3341,22733,Espazio publikoetako kultura-programak,139800.0,145000.0,144925.95
015503,3341,22756,Kultura-jardueretako zerbitzuak,159031.0,155000.0,151341.2
015503,3381,12000,Funtzionarioen oinarrizko ordainsariak,111014.0,111014.0,141660.03
015503,3381,12100,Funtzionarioen ordainsari osagarriak,143168.0,143168.0,174464.11
015503,3381,14100,"Langileak, beste",76443.0,76443.0,42973.31
015503,3381,16000,"Gizarte Segurantza, enpresaren kontura",85803.0,85803.0,89219.9
015503,3381,16500,"Elkarkidetzako kuotak, Udalaren kontura",228.0,228.0,7626.95
015503,3381,22643,"Erraldoiak, harmailak eta jaiotza konpontzea",12000.0,17000.0,17032.05
015503,3381,22660,Inauteriak,19500.0,23500.0,23825.86
015503,3381,22661,Andre Maria Zuriaren jaiak,695787.0,678000.0,678648.83
015503,3381,22662,Olarizu,3000.0,6000.0,7384.2
015503,3381,22663,Eguberri eta erregetako kanpaina,180000.0,180000.0,176972.11
015503,3381,22664,San Anton eta Santa Ageda jaiak,12600.0,7400.0,7261.42
015504,3332,12000,Funtzionarioen oinarrizko ordainsariak,71820.0,71820.0,69512.97
015504,3332,12100,Funtzionarioen ordainsari osagarriak,117133.0,117133.0,87716.04
015504,3332,14100,"Langileak, beste",113423.0,113423.0,3999.34
015504,3332,16000,"Gizarte Segurantza, enpresaren kontura",72911.0,72911.0,37527.92
015504,3332,16500,"Elkarkidetzako kuotak, Udalaren kontura",152.0,152.0,4153.73
015504,3332,22622,Montehermoso Kulturunea,15000.0,21651.75,21409.11
015504,3332,22751,Montehermosoko zerbitzu-kontratuak,25000.0,25000.0,24956.24
015507,2371,12000,Funtzionarioen oinarrizko ordainsariak,120550.0,120550.0,126488.6
015507,2371,12100,Funtzionarioen ordainsari osagarriak,157973.0,157973.0,156275.15
015507,2371,14100,"Langileak, beste",161876.0,161876.0,130904.47
015507,2371,16000,"Gizarte Segurantza, enpresaren kontura",111264.0,111264.0,106410.25
015507,2371,16500,"Elkarkidetzako kuotak, Udalaren kontura",566.0,566.0,16931.0
015507,2371,22115,Berariazko material teknikoa - Gazteria,300.0,300.0,2406.48
015507,2371,22709,Jolas jaialdia,75000.0,50000.0,45650.0
015507,2371,22732,Zerbitzuak emateko kontratuak - Gazteria,313200.0,267800.0,227121.32
015507,2371,22775,Gazte Plana,100000.0,82000.0,78200.84
015508,3301,12000,Funtzionarioen oinarrizko ordainsariak,241830.0,241830.0,263973.98
015508,3301,12100,Funtzionarioen ordainsari osagarriak,318020.0,318020.0,312807.79
015508,3301,14100,"Langileak, beste",30971.0,30971.0,80150.67
015508,3301,16000,"Gizarte Segurantza, enpresaren kontura",161659.0,161659.0,191241.69
015508,3301,16500,"Elkarkidetzako kuotak, Udalaren kontura",789.0,789.0,20662.23
015508,3301,21208,Ikus-entzunezko ekipoak konpontzea,1000.0,1000.0,999.36
015508,3301,22111,Tresna eta lanabesak,500.0,500.0,522.91
015508,3301,22300,Garraioa,2400.0,2400.0,2407.53
015508,3341,22734,Iradier Arenako zerbitzuak kontratatzea,15000.0,30000.0,28822.14
015508,3341,22735,Ephialte funtsen zabalkunderako zerbitzuak,12000.0,0.0,0.0
015508,3341,22736,Iradier Arenako babes-kontratuak,100000.0,100000.0,8912.0
015510,3392,12000,Funtzionarioen oinarrizko ordainsariak,456405.0,456405.0,604623.76
015510,3392,12100,Funtzionarioen ordainsari osagarriak,593150.0,593150.0,585159.5
015510,3392,14100,"Langileak, beste",78780.0,78780.0,125143.86
015510,3392,16000,"Gizarte Segurantza, enpresaren kontura",305650.0,305650.0,340530.8
015510,3392,16500,"Elkarkidetzako kuotak, Udalaren kontura",1229.0,1229.0,36012.32
015510,3392,21207,Ekipoak onik zaindu eta konpontzea,15000.0,15000.0,14997.97
015510,3392,22692,Musika Banda - kolaborazioak,2000.0,2000.0,1850.0
015510,3392,22699,Musika Bandaren programazio gastuak,45000.0,45000.0,46175.83
015510,3392,22732,Zerbitzuak emateko kontratuak,8000.0,10909.62,9774.05
015520,3342,12000,Funtzionarioen oinarrizko ordainsariak,166977.0,166977.0,186842.61
015520,3342,12100,Funtzionarioen ordainsari osagarriak,222452.0,222452.0,230928.26
015520,3342,14100,"Langileak, beste",31808.0,31808.0,45622.66
015520,3342,16000,"Gizarte Segurantza, enpresaren kontura",108911.0,108911.0,123688.52
015520,3342,16500,"Elkarkidetzako kuotak, Udalaren kontura",276.0,276.0,8641.84
015520,3342,22603,Antzoki Sarearen publizitate berezia,12200.0,12902.16,12121.06
015520,3342,22627,Ikuskizunak eta jaialdiak,720000.0,824654.82,778237.21
015520,3342,22732,Zerbitzuak emateko kontratuak,242000.0,242000.0,244082.15
0160,2381,12000,Funtzionarioen oinarrizko ordainsariak,92482.0,92482.0,114932.97
0160,2381,12100,Funtzionarioen ordainsari osagarriak,106998.0,106998.0,126017.17
0160,2381,14100,"Langileak, beste",9925.0,9925.0,5202.18
0160,2381,16000,"Gizarte Segurantza, enpresaren kontura",49460.0,49460.0,59586.15
0160,2381,16500,"Elkarkidetzako kuotak, Udalaren kontura",76.0,76.0,4502.51
0160,2381,22115,Berariazko material teknikoa,550.0,550.0,427.2
0160,2381,22710,III. Berdintasun Plana,269280.0,208470.5,160377.03
0160,2381,22773,Berdintasunerako ikastaroak programatzea,45000.0,0.0,0.0
0162,2391,12000,Funtzionarioen oinarrizko ordainsariak,21962.0,21962.0,42577.18
0162,2391,12100,Funtzionarioen ordainsari osagarriak,24116.0,24116.0,55482.76
0162,2391,14100,"Langileak, beste",78695.0,78695.0,49522.64
0162,2391,16000,"Gizarte Segurantza, enpresaren kontura",34002.0,34002.0,36328.53
0162,2391,16500,"Elkarkidetzako kuotak, Udalaren kontura",131.0,131.0,1947.36
0162,2391,22699,Lankidetzako bestelako hainbat gastu,16000.0,8000.0,3776.52
0162,2391,22707,Azterlanak eta lan teknikoak,26780.0,15000.0,0.0
0162,2391,22799,Kanpoko beste zenbait lan,55780.0,14000.0,35103.89
0162,2391,23002,Joan-etorrietako gastuak,14000.0,0.0,0.0
0171,3351,12000,Funtzionarioen oinarrizko ordainsariak,193336.0,193336.0,164349.47
0171,3351,12100,Funtzionarioen ordainsari osagarriak,228468.0,228468.0,180605.32
0171,3351,14100,"Langileak, beste",155313.0,155313.0,135475.41
0171,3351,16000,"Gizarte Segurantza, enpresaren kontura",137313.0,137313.0,141220.68
0171,3351,16500,"Elkarkidetzako kuotak, Udalaren kontura",598.0,598.0,16188.72
0171,3351,22741,Gurasoentzako euskara eskolak,385000.0,404250.0,386256.42
0171,3351,22748,Euskararen Astea,30000.0,30000.0,20065.29
0171,3351,22780,Euskara plana,1256659.0,169300.0,141408.74
0171,3351,22799,"Kanpoko itzulpenak, euskera",10000.0,10000.0,6488.84
0180,9271,11000,Kabineteko behin-behineko langileen ordainsariak,56688.0,56688.0,59133.1
0180,9271,12000,Funtzionarioen oinarrizko ordainsariak,14723.0,14723.0,16434.18
0180,9271,12100,Funtzionarioen ordainsari osagarriak,25151.0,25151.0,24664.56
0180,9271,16000,"Gizarte Segurantza, enpresaren kontura",23872.0,23872.0,25744.65
0187,9271,11000,Kabineteko behin-behineko langileen ordainsariak,136052.0,136052.0,99478.32
0187,9271,12000,Funtzionarioen oinarrizko ordainsariak,42243.0,42243.0,47112.65
0187,9271,12100,Funtzionarioen ordainsari osagarriak,43823.0,43823.0,45936.64
0187,9271,16000,"Gizarte Segurantza, enpresaren kontura",56683.0,56683.0,51138.58
0187,9271,16500,"Elkarkidetzako kuotak, Udalaren kontura",66.0,66.0,5280.76
0187,9271,22603,Argitalpenak eta publizitatea,556000.0,642568.88,622610.34
0187,9271,22612,Eguneko prentsa erostea,30000.0,33715.0,30656.09
0187,9271,22616,Prentsa-zerbitzuak,15000.0,34189.0,34504.84
0187,9271,22631,Erakundeetako parte-hartzea,25000.0,30792.0,30774.82
0187,9271,22632,Harpidetzak,5000.0,5000.0,2279.18
0187,9271,22634,Ekitaldiak antolatzea eta ordezkaritza-gastuak,60000.0,60000.0,81213.05
0187,9271,22645,Legez argitaratu beharreko iragarki ofizialak,200000.0,200000.0,184434.24
0187,9271,22730,Argitalpen funtsak gordetzeko zerbitzua,23000.0,23000.0,25984.37
0210,1502,12000,Funtzionarioen oinarrizko ordainsariak,69283.0,69283.0,82307.79
0210,1502,12100,Funtzionarioen ordainsari osagarriak,111747.0,111747.0,117925.88
0210,1502,14100,"Langileak, beste",41618.0,41618.0,89227.1
0210,1502,16000,"Gizarte Segurantza, enpresaren kontura",48926.0,48926.0,80115.3
0210,1502,16500,"Elkarkidetzako kuotak, Udalaren kontura",2458.0,2458.0,8810.93
0210,1502,22004,Kartografia eta proiektuak editatu eta erreproduzitzea,4000.0,4000.0,2920.16
0210,1502,22707,Laguntza teknikoak,6284.2,6284.2,0.0
0210,1502,22732,Zerbitzuak emateko kontratuak,9660.64,0.0,0.0
0210,1502,23901,Kalte-ordainak desjabetzeetako epaimahaiei,3060.0,3060.0,180.0
0211,1511,12000,Funtzionarioen oinarrizko ordainsariak,220218.0,220218.0,198314.94
0211,1511,12100,Funtzionarioen ordainsari osagarriak,293372.0,293372.0,241207.92
0211,1511,14100,"Langileak, beste",177601.0,177601.0,195642.56
0211,1511,16000,"Gizarte Segurantza, enpresaren kontura",169782.0,273372.15,163558.39
0211,1511,16500,"Elkarkidetzako kuotak, Udalaren kontura",572.0,572.0,16019.27
0213,1502,22730,Argitalpen funtsak gordetzeko zerbitzua,10000.0,10000.0,8757.29
0213,1512,12000,Funtzionarioen oinarrizko ordainsariak,329647.0,329647.0,314564.42
0213,1512,12100,Funtzionarioen ordainsari osagarriak,421347.0,421347.0,406060.63
0213,1512,14100,"Langileak, beste",32940.0,32940.0,39781.16
0213,1512,16000,"Gizarte Segurantza, enpresaren kontura",214800.0,214800.0,205465.63
0213,1512,16500,"Elkarkidetzako kuotak, Udalaren kontura",1142.0,1142.0,27433.5
0213,1512,22620,Lan subsidiarioak eta eskoratzeak,51487.56,11000.0,907.5
0214,9211,12000,Funtzionarioen oinarrizko ordainsariak,243175.0,243175.0,230109.22
0214,9211,12100,Funtzionarioen ordainsari osagarriak,295527.0,295527.0,281327.73
0214,9211,14100,"Langileak, beste",37851.0,37851.0,113168.25
0214,9211,16000,"Gizarte Segurantza, enpresaren kontura",163499.0,163499.0,176492.57
0214,9211,16500,"Elkarkidetzako kuotak, Udalaren kontura",719.0,719.0,16094.31
0216,1502,12000,Funtzionarioen oinarrizko ordainsariak,210216.0,210216.0,175307.27
0216,1502,12100,Funtzionarioen ordainsari osagarriak,265311.0,265311.0,221569.23
0216,1502,14100,"Langileak, beste",19834.0,19834.0,82519.62
0216,1502,16000,"Gizarte Segurantza, enpresaren kontura",148961.0,148961.0,144836.57
0216,1502,16500,"Elkarkidetzako kuotak, Udalaren kontura",979.0,979.0,19830.26
0320,1301,12000,Funtzionarioen oinarrizko ordainsariak,70445.0,70445.0,50818.14
0320,1301,12100,Funtzionarioen ordainsari osagarriak,98776.0,98776.0,50249.06
0320,1301,16000,"Gizarte Segurantza, enpresaren kontura",29507.0,29507.0,33276.48
0320,1301,16500,"Elkarkidetzako kuotak, Udalaren kontura",480.0,480.0,5280.76
0325,1331,12000,Funtzionarioen oinarrizko ordainsariak,216515.0,216515.0,203250.9
0325,1331,12100,Funtzionarioen ordainsari osagarriak,269532.0,269532.0,228604.09
0325,1331,14100,"Langileak, beste",82796.0,82796.0,172290.2
0325,1331,16000,"Gizarte Segurantza, enpresaren kontura",161672.0,161672.0,187991.55
0325,1331,16500,"Elkarkidetzako kuotak, Udalaren kontura",686.0,686.0,17361.34
0325,1331,20200,TAO txartelak saltzeko makinak mantentzea,250000.0,250000.0,249792.07
0325,1331,21050,Seinaleztapena onik zaintzea,180000.0,180000.0,161225.04
0325,1331,21910,Trafikoa kontrolatzeko sistema mantentzea,1140000.0,1160000.0,1161988.21
0330,1301,12000,Funtzionarioen oinarrizko ordainsariak,346784.0,346784.0,358728.97
0330,1301,12100,Funtzionarioen ordainsari osagarriak,456250.0,456250.0,448507.87
0330,1301,14100,"Langileak, beste",87228.0,87228.0,129399.83
0330,1301,16000,"Gizarte Segurantza, enpresaren kontura",260364.0,260364.0,280294.35
0330,1301,16500,"Elkarkidetzako kuotak, Udalaren kontura",1226.0,1226.0,28655.71
0340,1351,21102,Larrialdi eta elurteetako gastuak,290000.0,626000.0,625986.43
0340,1351,21104,Elurteetako jardunak,1.0,1.0,0.0
0340,1361,12000,Funtzionarioen oinarrizko ordainsariak,1590767.0,1590767.0,1701503.21
0340,1361,12100,Funtzionarioen ordainsari osagarriak,3014598.0,3014598.0,3005545.89
0340,1361,14100,"Langileak, beste",1642757.0,1966231.27,1971573.73
0340,1361,16000,"Gizarte Segurantza, enpresaren kontura",2310605.0,2416025.26,2571756.07
0340,1361,16500,"Elkarkidetzako kuotak, Udalaren kontura",35118.0,35118.0,159838.86
0340,1361,21000,Azpiegiturak eta ondasun naturalak,1.0,1.0,0.0
0340,1361,21300,Ibilgailuak konpontzea,70000.0,50000.0,46279.03
0340,1361,21900,Ekipoak berritzea eta erostea,40000.0,30000.0,33633.13
0340,1361,22105,Jantziak eta uniformeak,82636.76,134636.76,115251.99
0340,1361,22111,Tresna eta lanabesak,25000.0,15000.0,19192.58
0340,1361,22199,Bestelako hornikuntzak,30000.0,20000.0,35437.28
0340,1361,22699,Bestelako hainbat gastu,10000.0,10000.0,9727.74
0350,1321,12000,Funtzionarioen oinarrizko ordainsariak,5726072.37,5726072.37,6274075.89
0350,1321,12100,Funtzionarioen ordainsari osagarriak,10820808.0,10820808.0,10458231.69
0350,1321,16000,"Gizarte Segurantza, enpresaren kontura",4522363.16,4522363.16,4729928.14
0350,1321,16500,"Elkarkidetzako kuotak, Udalaren kontura",32503.0,32503.0,415974.88
0350,1321,20501,TETRA irratikomunikazio sistemaren rentinga,8000.0,8000.0,8000.0
0350,1321,21000,Azpiegiturak eta ondasun naturalak,3900.0,3900.0,3053.21
0350,1321,21300,Ibilgailuak konpontzea,80000.0,80000.0,78552.14
0350,1321,21900,Ekipoak berritzea eta erostea,45000.0,35000.0,47559.92
0350,1321,21905,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,5255.08
0350,1321,22105,Jantziak eta uniformeak,95000.0,95000.0,60104.88
0350,1321,22111,Tresna eta lanabesak,10000.0,15000.0,11440.38
0350,1321,22112,Osasun-material eta -jarduerak,3000.0,3000.0,1496.3
0350,1321,22199,Bestelako hornikuntzak,20000.0,25000.0,17170.51
0350,1321,22699,Bestelako hainbat gastu,23200.0,21000.0,31772.0
0410,0111,32000,Epe laburreko zorraren interes eta komisioak,357110.39,257110.39,222789.37
0410,0111,33000,Epe luzeko zorraren interesak eta komisioak,1787411.9,763321.99,766955.53
0410,0111,91005,Kredituen amortizazioa,14344111.87,14344111.87,14344111.87
0410,4334,85113,Indesa 2010 SLren kapitalean parte hartzea,50.0,0.0,0.0
0410,9205,20301,Ibilgailuen rentinga,653000.0,572633.38,482180.5
0410,9205,21300,Ibilgailuak konpontzea,200000.0,200000.0,160734.73
0410,9205,22104,Erregaiak,420000.0,320000.0,274997.56
0410,9205,22404,Ibilgailuen aseguruak,127000.0,127000.0,98489.67
0410,9206,21400,Altzariak konpontzea,10000.0,10000.0,1739.75
0410,9206,21500,Ekipoak mantentzeko kontratuak,150000.0,160000.0,98977.71
0410,9206,22001,"Ohikoa, inbentariatu ezina",240000.0,220000.0,132002.89
0410,9207,20100,Lokal eta eraikinak alokatzea,2713000.0,3999571.17,3913636.39
0410,9207,22110,Kopiagintza-gastuak,80000.0,80000.0,69850.62
0410,9207,22402,Erantzukizun zibileko aseguruak,315000.0,315600.0,264418.01
0410,9207,22407,Bizitza- eta istripu-asegurua,20000.0,20000.0,24535.79
0410,9207,22600,Ondasunen erregistro-gastuak,30000.0,30000.0,12826.73
0410,9207,22639,Atezaintza-gastuak,475.0,475.0,246.46
0410,9207,22695,CEDRO lizentziak,4800.0,4800.0,0.0
0410,9207,22732,Zerbitzuak emateko kontratuak,115950.0,127045.0,83453.47
0410,9207,22733,Zerbitzuak emateko kontratuak - Prestakuntza,6000.0,0.0,0.0
0410,9213,22102,Ur-hornidura eta hondar-urak araztea,983447.49,400000.0,431236.02
0410,9213,22103,Ur-hornikuntza zatikatzea,1000001.0,1000001.0,1000000.0
0410,9311,22499,Ondarearen gaineko erantzukizunarengatiko kalte-ordaina,230000.0,127000.0,84798.67
0410,9319,12000,Funtzionarioen oinarrizko ordainsariak,26336.0,26336.0,36713.32
0410,9319,12100,Funtzionarioen ordainsari osagarriak,48753.0,48753.0,59567.22
0410,9319,16000,"Gizarte Segurantza, enpresaren kontura",9866.0,9866.0,15313.29
0410,9319,16500,"Elkarkidetzako kuotak, Udalaren kontura",93.0,93.0,4327.5
0410,9321,22611,Katastroa mantentzea,332450.0,222450.0,221633.28
0410,9321,22776,Isunen Ataleko zerbitzuak,190000.0,190000.0,189747.36
0410,9331,22401,Udal eraikin eta lokalen aseguruak,350000.0,364756.0,298240.15
0410,9331,22601,Auzo-komunitateetako gastuak,250000.0,387931.92,248202.96
0410,9331,22610,Europa aparkalekuarekin hitzartutako kalte-ordaina,150000.0,150000.0,279174.15
0410,9331,22663,Elorriagako ustiapenak bertan behera geratzea konpentsatzea,52300.0,51406.1,50892.05
0410,9331,22760,Erloju publikoak mantentzea,20100.0,20100.0,19100.12
0410,9341,36100,"Interesak, zor ez ziren sarrerak itzultzean",200000.0,75000.0,50591.78
0410,9341,36101,Diru-sarrerei loturiko finantza-gastuak,170000.0,170000.0,109043.39
0410,9341,36900,Bestelako finantza-gastuak,10000.0,10000.0,460.88
0411,9321,12000,Funtzionarioen oinarrizko ordainsariak,92336.0,92336.0,68480.39
0411,9321,12100,Funtzionarioen ordainsari osagarriak,123070.0,123070.0,82932.62
0411,9321,16000,"Gizarte Segurantza, enpresaren kontura",44666.0,44666.0,33882.5
0411,9321,16500,"Elkarkidetzako kuotak, Udalaren kontura",191.0,191.0,2699.54
0412,9314,12000,Funtzionarioen oinarrizko ordainsariak,52931.0,52931.0,127204.87
0412,9314,12100,Funtzionarioen ordainsari osagarriak,60239.0,60239.0,169089.27
0412,9314,16000,"Gizarte Segurantza, enpresaren kontura",25495.0,25495.0,63655.56
0412,9314,16500,"Elkarkidetzako kuotak, Udalaren kontura",507.0,507.0,11095.16
0414,9312,12000,Funtzionarioen oinarrizko ordainsariak,49211.0,49211.0,55177.92
0414,9312,12100,Funtzionarioen ordainsari osagarriak,73490.0,73490.0,79435.46
0414,9312,14100,"Langileak, beste",44108.0,44108.0,51813.83
0414,9312,16000,"Gizarte Segurantza, enpresaren kontura",31751.0,31751.0,35093.86
0414,9312,16500,"Elkarkidetzako kuotak, Udalaren kontura",93.0,93.0,2907.2
0415,9323,12000,Funtzionarioen oinarrizko ordainsariak,94317.0,94317.0,101930.36
0415,9323,12100,Funtzionarioen ordainsari osagarriak,127297.0,127297.0,127832.04
0415,9323,16000,"Gizarte Segurantza, enpresaren kontura",49868.0,49868.0,55607.52
0415,9323,16500,"Elkarkidetzako kuotak, Udalaren kontura",2272.0,2272.0,9532.13
0416,9341,12000,Funtzionarioen oinarrizko ordainsariak,114664.0,114664.0,106306.39
0416,9341,12100,Funtzionarioen ordainsari osagarriak,158521.0,158521.0,126571.81
0416,9341,16000,"Gizarte Segurantza, enpresaren kontura",56685.0,56685.0,54123.6
0416,9341,16500,"Elkarkidetzako kuotak, Udalaren kontura",418.0,418.0,6333.54
0417,9322,12000,Funtzionarioen oinarrizko ordainsariak,62730.0,62730.0,88420.83
0417,9322,12100,Funtzionarioen ordainsari osagarriak,96949.0,96949.0,130695.32
0417,9322,16000,"Gizarte Segurantza, enpresaren kontura",32453.0,32453.0,49697.1
0417,9322,16500,"Elkarkidetzako kuotak, Udalaren kontura",279.0,279.0,9709.12
0418,9319,12000,Funtzionarioen oinarrizko ordainsariak,1152126.0,1152126.0,1134615.69
0418,9319,12100,Funtzionarioen ordainsari osagarriak,1479986.0,1479986.0,1393360.93
0418,9319,14100,"Langileak, beste",351052.0,351052.0,412250.29
0418,9319,16000,"Gizarte Segurantza, enpresaren kontura",819820.0,819820.0,821886.7
0418,9319,16500,"Elkarkidetzako kuotak, Udalaren kontura",8873.0,8873.0,105191.63
0421,9314,12000,Funtzionarioen oinarrizko ordainsariak,25880.0,25880.0,0.0
0421,9314,12100,Funtzionarioen ordainsari osagarriak,38942.0,38942.0,0.0
0421,9314,16000,"Gizarte Segurantza, enpresaren kontura",12467.0,12467.0,0.0
0421,9314,16500,"Elkarkidetzako kuotak, Udalaren kontura",139.0,139.0,0.0
0810,4301,12000,Funtzionarioen oinarrizko ordainsariak,3644.0,3644.0,253710.36
0810,4301,12100,Funtzionarioen ordainsari osagarriak,7063.0,7063.0,273959.56
0810,4301,14100,"Langileak, beste",43058.0,43058.0,155006.03
0810,4301,16000,"Gizarte Segurantza, enpresaren kontura",14917.0,14917.0,176217.67
0810,4301,16500,"Elkarkidetzako kuotak, Udalaren kontura",25.0,25.0,26066.56
0817,4332,12000,Funtzionarioen oinarrizko ordainsariak,180757.0,180757.0,133885.41
0817,4332,12100,Funtzionarioen ordainsari osagarriak,238053.48,238053.48,143002.52
0817,4332,14100,"Langileak, beste",85320.0,85320.0,72069.11
0817,4332,16000,"Gizarte Segurantza, enpresaren kontura",120296.81,120296.81,87962.37
0817,4332,16500,"Elkarkidetzako kuotak, Udalaren kontura",1127.0,1127.0,8306.29
0817,4332,22605,"Bilerak, hitzaldiak eta biltzarrak",5000.0,5000.0,0.0
0817,4332,22606,Babes kontratuak,25000.0,15000.0,11500.0
0817,4332,22707,Azterlanak eta lan teknikoak,11530.0,10530.0,9495.31
0817,4334,85112,"CEIA, kapital-zabalkuntza",61167.68,61167.68,61167.68
0817,9241,22640,Udalerriko Gizarte Kontseilua,5530.0,5530.0,208.68
0819,4301,12000,Funtzionarioen oinarrizko ordainsariak,127614.0,127614.0,0.0
0819,4301,12100,Funtzionarioen ordainsari osagarriak,156224.0,156224.0,0.0
0819,4301,16000,"Gizarte Segurantza, enpresaren kontura",76037.0,76037.0,0.0
0819,4301,16500,"Elkarkidetzako kuotak, Udalaren kontura",492.0,492.0,0.0
0820,9271,12000,Funtzionarioen oinarrizko ordainsariak,13688.0,13688.0,0.0
0820,9271,12100,Funtzionarioen ordainsari osagarriak,20521.0,20521.0,0.0
0820,9271,16000,"Gizarte Segurantza, enpresaren kontura",8401.0,8401.0,0.0
0820,9271,16500,"Elkarkidetzako kuotak, Udalaren kontura",196.0,196.0,0.0
0821,4331,12000,Funtzionarioen oinarrizko ordainsariak,68041.0,68041.0,69966.53
0821,4331,12100,Funtzionarioen ordainsari osagarriak,77123.0,77123.0,71856.71
0821,4331,14100,"Langileak, beste",68021.28,68021.28,120468.38
0821,4331,16000,"Gizarte Segurantza, enpresaren kontura",58279.57,58279.57,69682.27
0821,4331,16500,"Elkarkidetzako kuotak, Udalaren kontura",186.0,186.0,5399.08
0821,4331,22677,Ekintzaileentzako laguntza,65500.0,63000.0,31290.61
0821,4331,22678,Ekintzaileentzako eskualdeko enplegu-plana,245000.0,0.0,61380.2
0821,4331,22712,Enpresa-mintegien kudeaketa,22992.55,40000.0,11974.61
0821,4331,22779,Enpresentzako laguntza,86000.0,50000.0,1329.61
