#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado
0116,2371,22737,,Oficina municipal de informacion joven,70000,70000,20662.52
0116,2371,22775,,Plan joven,100000,100000,193112.44
0116,2371,22776,,Gazte plaza,50000,50000,33880
0116,2371,41924,,Convenio consejo juventud euskadi-fomento participacion juvenil,10500,10500,8400
0116,2371,48935,,Convocatoria subvenciones,30000,30000,24480
0116,2371,48935,R,Convocatoria subvenciones,0,5115,4535
0116,2371,48936,,Convocatoria de subvención para jovenes informadores,11000,11000,3500
0116,2371,48936,R,Convoc. jovenes informad eemm,0,3750,3750
0116,2371,48937,,Ayudas para impulsar el conocimiento de inglés,0,30000,14420.34
0116,2371,62505,,Otros enseres,6000,14000,13897.73
0116,2371,62800,,Adquisicion publicaciones y libros,500,500,490.76
0125,9124,12000,,Retribuciones basicas de funcionarios,128899.77,128899.77,123408.66
0125,9124,12100,,Retribuciones complementarias funcionarios,195413,195413,177636.61
0125,9124,14100,,Otro personal,39483,39483,77197.8
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,95550,95550,102741.08
0125,9124,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7963,7963,7496.65
0126,9124,12000,,Retribuciones basicas de funcionarios,1,1,0
0126,9124,12100,,Retribuciones complementarias funcionarios,510,510,0
0130,9201,11000,,Retribuciones personal eventual gabinete,68802.14,68802.14,257.84
0130,9201,12000,,Retribuciones basicas de funcionarios,234017,234017,263997.61
0130,9201,12100,,Retribuciones complementarias funcionarios,412629,412629,402486.27
0130,9201,14100,,Otro personal,68748,68748,35784.53
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,159152,159152,138051.34
0130,9201,16500,,Cuotas elkarkidetza a cargo ayuntamiento,15714,15714,12794.37
0130,9201,22610,,Indemnizaciones,1000,158680.42,157680.42
0130,9201,22617,,Honorarios y minutas,30000,30000,43741.09
0130,9201,62800,,Adquisicion publicaciones y libros,15000,15000,14274.64
0145,9121,11000,,Retribuciones personal eventual gabinete,299626.95,299626.95,261217.41
0145,9121,12000,,Retribuciones basicas de funcionarios,0,0,29419.93
0145,9121,12100,,Retribuciones complementarias funcionarios,0,0,52327.36
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,59377,59377,62878.13
0145,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1069,1069,3799.36
0160,2381,12000,,Retribuciones basicas de funcionarios,143631.1,143631.1,134052.54
0160,2381,12100,,Retribuciones complementarias funcionarios,190054,190054,153469.01
0160,2381,14100,,Otro personal,47097,47097,92468.15
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,109498,109498,131979.73
0160,2381,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6515,6515,6157.77
0160,2381,22711,,Plan para la igualdad,65000,65000,60196.1
0160,2381,22712,,Casa-escuela empoderamiento feminista,245000,235000,241712.28
0160,2381,22712,R,Casa-escuela empoder feminista,0,1556.94,0
0160,2381,22713,,Prevención y atención violencia machista,100000,200000,136628.57
0160,2381,22714,,Agenda diversidad sexual y de genero,40000,40000,40000
0160,2381,22730,,,,,
0160,2381,48120,,Convenio observatorio lgtbi,100000,100000,100000
0160,2381,48139,,Convocatoria de subvenciones a asoc. mujeres,100000,100000,80000.02
0160,2381,48139,R,Convocatoria de subvenciones a asoc. mujeres,0,17000,15344.13
0160,2381,62925,,Edificios igualdad,12000,22000,13105.7
0171,3351,12000,,Retribuciones basicas de funcionarios,200353.42,200353.42,203354.77
0171,3351,12100,,Retribuciones complementarias funcionarios,243547,243547,252701.6
0171,3351,14100,,Otro personal,113195,113195,136941.98
0171,3351,16000,,Seguridad social a cargo del ayuntamiento,170075,170075,172187
0171,3351,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8145,8145,8240.75
0171,3351,22111,,Otros enseres,1500,11500,413.95
0171,3351,22741,,Cursos de euskera para madres y padres,560000,569034.14,450289.92
0171,3351,22742,,Udal langileentzako ikastaroak,8500,8500,4967.05
0171,3351,22780,,Plan euskera,200000,196000,181266.08
0171,3351,22781,,Gasteiz euskararen hiria,50000,50000,45851.04
0171,3351,22799,,Traducciones externas euskera,10000,10000,5224.29
0171,3351,41803,,Convenio euskaltzaindia,63000,63000,50400
0171,3351,41803,R,Convenio euskaltzaindia,0,12600,12600
0171,3351,42302,,Convenio con la camara de comercio,10500,10500,8400
0171,3351,42302,A,Convenio con la camara de comercio,0,2100,0
0171,3351,42302,R,Convenio con la camara de comercio,0,2100,0
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000,150000,148487.16
0171,3351,48002,,Becas y bolsas de estudio al personal,30000,30000,9622.21
0171,3351,48005,,Subvencion plan general uso del euskera,120000,120000,99089.91
0171,3351,48005,A,Subvencion plan general uso del euskera,0,6774.12,6070.83
0171,3351,48005,R,Subvencion plan general uso del euskera,0,19199.97,14144.39
0171,3351,48044,,Convenio geu,77175,77175,61740
0171,3351,48044,R,Convenio geu,0,15435,15435
0171,3351,48048,,Convenio asociacion tinko,10500,10500,8400
0171,3351,48048,R,Convenio asociacion tinko,0,2100,2100
0171,3351,48049,,Convenio asociación euskharan,25000,25000,20000
0171,3351,48049,R,Convenio asociación euskharan,0,5000,5000
0171,3351,48064,,Convenio korrika,0,4000,3200
0171,3351,48065,,Convenio euskaraldia,50000,50000,40000
0171,3351,48065,R,Convenio euskaraldia,0,10000,10000
0171,3351,48101,,Convenio araba euskaraz,20000,20000,16000
0171,3351,48101,R,Convenio araba euskaraz,0,4000,4000
0171,3351,48103,,Convenio lazarraga - izaskun arrue kulturgunea,350000,325000,260000
0171,3351,48997,,Convenio bai euskarari,23100,23100,18480
0171,3351,48997,R,Convenio bai euskarari,0,4620,4620
0171,3351,62501,,Euskararen etxea,190000,240494,230200.8
0171,3351,62800,,Adquisicion publicaciones y libros,1000,1000,62.85
0180,3293,41902,,Convenio upv-cursos dchos.internacional,30000,30000,24000
0180,3293,41902,R,Convenio upv-cursos dchos.internacional,0,6000,4115.19
0180,9271,12000,,Retribuciones basicas de funcionarios,165129.19,165129.19,162538.74
0180,9271,12100,,Retribuciones complementarias funcionarios,207562,207562,211365.93
0180,9271,14100,,Otro personal,27019,27019,15082.89
0180,9271,16000,,Seguridad social a cargo del ayuntamiento,125958,125958,110006.15
0180,9271,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8007,8007,7596.6
0180,9271,22603,,Publicaciones y publicidad,600000,600000,689982.41
0180,9271,22612,,Adquisicion prensa diaria,25000,25000,29513.17
0180,9271,22616,,Servicios de asistencia tecnica a prensa,30000,30000,32796.7
0180,9271,22628,,Comunicación audiovisual,20000,20000,16889.63
0180,9271,22631,,Participacion municipal en otras instituciones,28000,28000,28396.91
0180,9271,22632,,Suscripciones,500,500,540
0180,9271,22634,,Organizacion de eventos  y gastos de representación,100400,100400,138766.34
0180,9271,22634,R,Organizacion de eventos  y gastos de representación,0,1770.23,1770.23
0180,9271,22645,,Anuncios oficiales por ley,210000,210000,0
0180,9271,22730,,Servicio almacenaje fondos editoriales,7000,7000,2147.96
0180,9271,22732,,Contratos de prestacion de servicios,30000,30000,5044.44
0180,9271,22732,R,Contratos de prestacion de servicios,0,7848.08,4054.72
0180,9271,22799,,Servicios de traducción,30000,30000,24762.93
0180,9271,22799,R,Servicio de traducción,0,460.59,460.59
0180,9271,62505,,Otros enseres,6000,12000,11995.96
0181,2327,12000,,Retribuciones basicas de funcionarios,68173.27,68173.27,45244.24
0181,2327,12100,,Retribuciones complementarias funcionarios,89273,89273,57630.68
0181,2327,14100,,Otro personal,41972,41972,81315.13
0181,2327,16000,,Seguridad social a cargo del ayuntamiento,58710,58710,62819.29
0181,2327,16500,,Cuotas elkarkidetza a cargo ayuntamiento,2133,2133,96.95
0181,2361,22604,,Estrategia antirumor,42500,42500,57741
0181,2361,22608,,Programa de (in)formación,30000,30000,14543.35
0181,2361,22610,,Ciudad educadora,18000,18000,22853.07
0181,2361,22610,R,Ciudad educadora,0,6930,6930
0181,2361,22613,,Traduccion e interpretacion,44600,44600,43623.15
0181,2361,22642,,Plan de convivencia y diversidad,120000,165000,72227.08
0181,2361,41910,,Conv. red vasca antirrumores,5000,5000,4000
0181,2361,41910,R,Conv. red vasca antirrumores,0,1000,1000
0181,2361,48128,,Convenio arabako gorrak,22000,22000,17600
0181,2361,48128,R,Convenio arabako gorrak,0,4400,4400
0181,2361,48901,,Convocatoria general de subvenciones,60000,60000,48000
0181,2361,48901,R,Convocatoria gral. subvenciones,0,11999.99,11534.9
0181,2361,48970,,Conv.asoc.eginaren eginez,30000,30000,24000
0181,2361,48970,R,Conv. asoc. eginaren eginez,0,6000,6000
0181,2361,48983,,Convenio goian,114000,114000,91200
0181,2361,48983,R,Convenio goian,0,22800,22800
0181,2361,48986,,Fundación memorial 3 de marzo,25000,25000,0
0209,1701,12000,,Retribuciones basicas de funcionarios,33134.97,33134.97,0
0209,1701,12100,,Retribuciones complementarias funcionarios,60888,60888,0
0209,1701,16000,,Seguridad social a cargo del ayuntamiento,15267,15267,0
0209,1701,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1662,1662,0
0210,1502,11000,,Retribuciones personal eventual gabinete,61178.97,61178.97,224.08
0210,1502,12000,,Retribuciones basicas de funcionarios,27842,27842,62466.11
0210,1502,12100,,Retribuciones complementarias funcionarios,46711,46711,109252.79
0210,1502,16000,,Seguridad social a cargo del ayuntamiento,20647,20647,27592.4
0210,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1306,1306,3205.71
0210,1502,22004,,Edicion y reproduccion de cartografia y proyectos,2000,2000,0
0210,1502,22111,,Menaje,1000,1000,5.6
0210,1502,22205,,"Reuniones,conferencias y congresos",18000,6293.25,12756.5
0210,1502,22707,,Asistencias técnicas,4000,4000,0
0210,1502,23901,,Indemnizaciones jurados expropiacion,1000,1000,180
0211,1511,12000,,Retribuciones basicas de funcionarios,332832.27,332832.27,352709.52
0211,1511,12100,,Retribuciones complementarias funcionarios,442991,442991,438164.53
0211,1511,14100,,Otro personal,105586,105586,139899.04
0211,1511,16000,,Seguridad social a cargo del ayuntamiento,262571,262571,270566.35
0211,1511,16500,,Cuotas elkarkidetza a cargo ayuntamiento,18181,18181,17466.06
0211,1511,60001,,Expropiaciones y adquisicion de suelo,150000,456367.69,416996.98
0211,1511,60001,R,Expropiaciones y adquisicion de suelo,0,18034.84,18034.84
0211,1511,60926,,Regularización convenio obispado aparcamiento catedral,100000,0,0
0211,1511,61405,,Revisión del catálogo ciudad,37500,0,0
0211,1511,64202,,Actualizaciones cartográficas,5000,5000,18004.8
0211,1511,64202,R,Actualizaciones cartográficas,0,17908,17908
0211,1511,64203,,Honorarios,10000,8635.12,108.9
0211,1511,64206,,Revision pgou,96000,96000,0
0211,1511,64208,,Revisión plan especial casco histórico,137500,137500,84999.99
0211,1511,64208,R,Revisión plan especial casco histórico,0,5000,5000
0211,1511,64212,,Previsión cuotas urbanización,81000,66000,2643.85
0211,1511,64334,,Honorarios notarios registro regularización propiedades,21000,11000,708.27
0213,1512,12000,,Retribuciones basicas de funcionarios,184123.98,184123.98,595462.64
0213,1512,12100,,Retribuciones complementarias funcionarios,239242,239242,758210.22
0213,1512,14100,,Otro personal,96695,96695,301295.24
0213,1512,16000,,Seguridad social a cargo del ayuntamiento,146584,146584,461889.16
0213,1512,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10298,10298,25089.5
0213,1512,22620,,Obras subsidiarias y apuntalamiento,20000,20000,4689.79
0213,1512,22620,R,Obras subsidiarias y apuntalamiento,0,50000,0
0213,1512,22747,,Inspecc técnica edificios intervencion edif casco histórico,40000,40000,2884.52
0213,1512,22747,A,Ite-intervenc casco histórico,0,2586.37,0
0213,1512,22747,R,Ite-intervenc casco historico,0,39985.7,0
0213,1512,78901,,Llegada de la fibra óptica alde zaharra,150000,150000,0
0214,1502,62630,,Licencias software,1000,1000,0
0214,1502,62901,,Adquisicion equipos,1000,1000,127.91
0214,1502,64201,,Estudios y proyectos,10000,10000,9999.68
0214,1515,62213,,Piie-centro de atención diurna zaramaga,1900172.88,1565000,0
0214,3421,62257,,Frontones beti jai,0,207445.77,207455.77
0214,9210,60205,,Eu-rehabilitación palacio maturana verastegui,500000,500000,129029.1
0214,9210,60205,R,Eu-rehabilitación palacio maturana verastegui pstd faseii,0,1104015.02,0
0214,9211,12000,,Retribuciones basicas de funcionarios,224995.33,224995.33,193436.32
0214,9211,12100,,Retribuciones complementarias funcionarios,281103,281103,238330.25
0214,9211,14100,,Otro personal,0,0,27912.52
0214,9211,16000,,Seguridad social a cargo del ayuntamiento,146553,146553,132056.53
0214,9211,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8206,8206,6687.65
0214,9211,60507,,Aramangelu - abetxuko,1,1,0
0214,9211,60507,A,Aramangelu - abetxuko,0,74881.41,0
0214,9211,62215,,Inversiones en patrimonio municipal,100000,100000,87322.91
0214,9211,62215,A,Inversiones en patrimonio municipal,0,221633.23,63815.46
0214,9211,62226,,Rehabilitación viviendas municipales,100000,100000,79853.08
0214,9211,62226,R,Rehabilitación viviendas municipales,0,210842.5,105421.26
0214,9211,62278,A,Centro protección animal,0,3293.78,0
0214,9211,62297,,Rehabilitacion edificios mples. directiva 2012/2017 ue,200000,182000,0
0214,9211,64326,A,Plan de reactivacion del centro urbano,0,119031.98,119031.98
0214,9211,64326,R,Plan de reactivacion del centro urbano,0,93445.54,4602.97
0214,9211,64516,A, gasteiz antzokia,0,16878.94,0
0214,9211,72229,,Rehabilitación parque municipal de viviendas ensanche 21 y ayuntamiento,0,850000,0
0214,9212,62290,,Reforma teatro principal,5850000,5850000,0
0214,9212,62290,A,Reforma teatro principal,0,303401.45,11796.83
0214,9212,62290,R,Reforma teatro principal,0,66232.53,0
0215,9211,72229,,Rehabilitación del parque municipal de viviendas de ensanche 21 y ayuntamiento,850000,0,0
0216,1502,12000,,Retribuciones basicas de funcionarios,245132.69,245132.69,226805.54
0216,1502,12100,,Retribuciones complementarias funcionarios,316730,316730,317250.48
0216,1502,14100,,Otro personal,35930,35930,53299.98
0216,1502,16000,,Seguridad social a cargo del ayuntamiento,166627,166627,160796.96
0216,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6913,6913,7537.05
022201,1691,12000,,Retribuciones basicas de funcionarios,179510.42,179510.42,159539.02
022201,1691,12100,,Retribuciones complementarias funcionarios,243831,243831,210198.48
022201,1691,14100,,Otro personal,171374,171374,163323.2
022201,1691,16000,,Seguridad social a cargo del ayuntamiento,158393,158393,166022.55
022201,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8887,8887,9545.9
022201,1721,60305,,Instalaciones del vertedero gardelegui,100000,100000,0
022201,1721,60305,R,Instalaciones del vertedero gardelegui,0,77822.8,623.43
022201,1722,62916,,Calidad ambiental del vertedero,75000,75000,5989.5
022202,1722,22600,R,Urban new gastos diversos,0,74910.31,17816.01
022203,1621,22700,,"Contrato serv limpieza, recogida y transporte rsu",10010927.61,10084927.61,10018467.07
022203,1621,22700,R,"Contrato serv limpieza, recogida y transporte rsu",0,398479.72,177604.06
022203,1621,22703,,Contrato recogida neumatica en casco medieval,1493685.72,1493685.72,1493685.72
022203,1621,22703,R,Contrato recogida neumatica en casco medieval,0,94283.69,94283.64
022203,1621,22704,,Suministro eléctrico recogida neumática,590480,590480,441929.29
022203,1621,22704,R,Sumi elect recogida neumática,0,0,0
022203,1621,22715,,Recogidas selectivas de residuos,393000,494000,420471.95
022203,1621,22715,R,Recogidas selectivas de residuos,0,67876.68,66064.53
022203,1621,22724,,Contrato de explotación de garbigunes,511138.19,511138.19,511138.19
022203,1622,21204,,Mantenimiento de las instalaciones del vertedero,65000,205000,219795.77
022203,1622,21204,R,Mantenimiento de las instalaciones del vertedero,0,25216.65,25216.65
022203,1622,22699,,Otros gastos diversos,80000,80000,9592.64
022203,1622,22707,,Actuaciones conservacion biodiversidad,58500,58500,55649.08
022203,1622,22707,R,Actuaciones conservacion biodiversidad,0,16000,16000
022203,1622,22723,,Contrato explotacion del vertedero,1451915.75,1451915.75,1411158.36
022203,1623,22111,,Menaje,5000,5000,3785.11
022203,1623,22702,,Contrato explotación planta rsu jundiz,9857325.84,9900575.51,9421160.48
022203,1623,22710,,Contrato recogida voluminosos,1562302.7,1562302.7,1562302.7
022203,1623,47133,,Convenio fundación vital plasticos 0,20000,25000,25000
022203,1623,60907,,"Control de calidad agua, aire y suelo",30000,30000,10769
022203,1631,22700,,Contrato servicio de limpieza viaria,15020203.08,15020203.08,15020203.08
022203,1631,22700,R,Contrato serv. limpieza viaria,0,747160.28,440599.33
022203,1631,22701,,Plan antigrafitis,97100,97100,87590.52
022203,1722,12000,,Retribuciones basicas de funcionarios,184183.79,184183.79,165683.59
022203,1722,12100,,Retribuciones complementarias funcionarios,254562,254562,227348.98
022203,1722,14100,,Otro personal,41373,41373,200287.12
022203,1722,16000,,Seguridad social a cargo del ayuntamiento,143342,143342,187749.29
022203,1722,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7961,7961,10380.37
022204,1711,12000,,Retribuciones basicas de funcionarios,65058.87,65058.87,68861.53
022204,1711,12100,,Retribuciones complementarias funcionarios,88356,88356,86781.62
022204,1711,13000,,Retribuciones personal laboral fijo,96602,96602,94128.83
022204,1711,14100,,Otro personal,0,0,23653.22
022204,1711,16000,,Seguridad social a cargo del ayuntamiento,72020,72020,79758.18
022204,1711,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4377,4377,4376.82
022204,1711,21073,,Conservacion arboreto,26250,8622.05,23318.03
022204,1711,21074,,Trabajos de conservacion anillo verde exterior,511436.51,690711.22,447748.88
022204,1711,21074,R,Trabajos de conservacion anillo verde exterior,0,14088.35,11811.2
022204,1711,22663,,Canon demanial arkaute-elorriaga,14000,14000,70098.08
022204,1711,22699,,Estrategia de economía circular,25000,25000,13839.65
022204,1711,60916,,Agenda local 2030,50000,50000,3000
022204,1711,60916,R,Agenda local 2030,0,78650,72116
022204,1711,62219,A,Inst placas solares fotovolt.,0,1002133.85,501066.93
022204,1711,64305,,Plan de acción clima energía sostenible,20000,20000,0
022204,1711,64305,R,Plan de acción clima energía sostenible,0,14762,14762
022204,1711,64306,,Instalación placas fotovoltaicas,128981.28,128981.28,15867.11
022204,1711,64306,R,Instalac. placas fotovoltaicas,0,340000,0
022204,1711,64307,,Comunidades energéticas en zonas degradadas,600000,0,0
022204,1711,64319,,Red de control campos electromagnéticos,10000,10000,0
022204,1711,64319,R,Red de control campos electromagnéticos,0,6897,6897
022204,1711,64321,,Plan de energías renovables,10000,10000,7775
022204,1711,64321,A,Plan de energías renovables,0,73575.5,27590.82
022204,1711,64336,,Inversiones transición energética,5000,5000,0
022204,1711,64336,A,Inversiones transición energética,0,223397.46,77471.46
022204,1711,64337,,Misiones climáticas,10000,10000,18101.6
022204,1711,64337,R,Misiones climáticas,0,8772.5,8772.5
022204,1711,64338,,Plan de sensibilización ambiental (konpondu),10000,10000,0
022204,1711,78004,,Subv. plan aislamiento acustico zpae,100000,100000,0
022204,1711,78004,A,Subv. plan aislamiento acustico zpae,0,187478.13,2553.07
022204,1722,48067,,Subvención a comunidades energéticas,0,90000,0
022204,1722,78005,,Subvención a comunidades energéticas,0,510000,45500
022301,1623,60711,,Adecuacion vertedero real decreto 14/81/2001,200000,200000,82051.87
022301,1623,60711,A,Adecuacion vertedero real decreto 14/81/2001,0,452671.09,439170.36
022301,1623,60711,R,Adecuacion vertedero real decreto 14/81/2001,0,594172.2,592168.79
022301,1691,12000,,Retribuciones basicas de funcionarios,56840.07,56840.07,89909.76
022301,1691,12100,,Retribuciones complementarias funcionarios,81263,81263,108664.23
022301,1691,14100,,Otro personal,0,0,42306.86
022301,1691,16000,,Seguridad social a cargo del ayuntamiento,32165,32165,76044.27
022301,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3325,3325,5374.46
022301,1691,21040,,Mantenimiento de equipos y control y diagnóstico,150000,167627.95,127568.76
022301,1691,21040,R,Mto. equipos y ctrl. diagnos.,0,49475.14,49475.14
022301,1691,22115,,Repuestos y fungibles,0,0,913.65
022301,1691,22605,,Acciones de sostenibilidad y energia,14750,12009.74,7356.38
022301,1691,22732,,Eu-transición energética comunitaria,232000,232000,70977.3
022301,1691,22732,R,Eu-transición energética comunitaria,0,101195.98,101195.98
022301,1691,48196,,Convenio gaia,10000,10000,10000
022301,1721,64316,,Plan de acción del mapa estratégico de ruidos,10000,10000,344.85
022301,1721,64316,R,Plan de acción del mapa estratégico de ruidos,0,17787,17787
022301,1721,64329,,Plan sensibilizacion ruidos casco medieval,4000,4000,0
022301,1721,64330,,Red de control del ruido,5049,5049,0
022301,1721,64330,R,Red de control del ruido,0,5038.44,5038.44
022301,1722,48100,,Fundación conama,0,30000,30000
022301,1722,60182,,Proyecto arboles,10000,10000,4461.37
022301,1722,60182,R,Proyecto arboles,0,29703.85,27063.12
022301,1722,60183,,Actuaciones de conservación de biodiversidad,2000,0,0
022301,1722,60919,,Infraestructuras anillo verde,1000,41000,1282.6
022301,1722,60932,,Eu jardin botanico de olarizu,0,387569.35,52656.12
022301,1722,60932,A,Eu jardin botanico de olarizu,0,465450.05,405793.56
022301,1722,60932,R,Eu jardin botanico de olarizu,0,165331.55,165282.09
022301,1722,60933,,Eu-mejoras en la conectividad anillo verde (pstd fase ii),0,123762.18,59005.46
022301,1722,60933,A,Eu-mejoras en la conectividad del anillo verde (pstd fase i),0,182314.59,167925.33
022301,1722,60933,R,Eu-mejoras en la conectividad anillo verde (pstd fase ii),0,600000,17121.5
022302,1515,64310,,Piie-comunidades enrgéticas y placas fotovoltáicas zaramaga,493488.39,121803.29,0
022302,1515,64310,R,Piie cdades enr placas zaramaga,0,121202.07,36360.62
022302,1515,64311,,Piie comunidades energéticas zaramaga,0,0,0
022302,1691,12000,,Retribuciones basicas de funcionarios,23318.81,23318.81,0
022302,1691,12100,,Retribuciones complementarias funcionarios,32596,32596,0
022302,1691,14100,,Otro personal,15932,15932,0
022302,1691,16000,,Seguridad social a cargo del ayuntamiento,30419,30419,0
022302,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1888,1888,0
0224,1514,12000,,Retribuciones basicas de funcionarios,372440.13,372440.13,0
0224,1514,12100,,Retribuciones complementarias funcionarios,491743,491743,0
0224,1514,14100,,Otro personal,180042,180042,0
0224,1514,16000,,Seguridad social a cargo del ayuntamiento,320720,320720,0
0224,1514,16500,,Cuotas elkarkidetza a cargo ayuntamiento,17805,17805,0
0320,1301,11000,,Retribuciones personal eventual gabinete,35682,35682,93911.64
0320,1301,12000,,Retribuciones basicas de funcionarios,48902.38,48902.38,26374.34
0320,1301,12100,,Retribuciones complementarias funcionarios,67320,67320,29389.05
0320,1301,14100,,Otro personal,0,0,44837.04
0320,1301,16000,,Seguridad social a cargo del ayuntamiento,34280,34280,47075.39
0320,1301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1662,1662,1662.22
0330,1301,12000,,Retribuciones basicas de funcionarios,413631.63,413631.63,459005.77
0330,1301,12100,,Retribuciones complementarias funcionarios,560970,560970,604842.63
0330,1301,14100,,Otro personal,73339,73339,164369.16
0330,1301,16000,,Seguridad social a cargo del ayuntamiento,324547,324547,379735.85
0330,1301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,17184,17184,18877.12
0340,1351,21102,,Gastos de emergencia y nevadas,75000,75000,19429.8
0340,1351,21102,R,Gastos de emergencia y nevadas,0,18147.39,18147.39
0340,1351,21300,,Reparacion vehiculos,75000,75000,113308.9
0340,1351,22701,,Gastos operativo sanitario de fiestas,18000,18000,22526.9
0340,1361,12000,,Retribuciones basicas de funcionarios,1856953.91,1856953.91,1826455.06
0340,1361,12100,,Retribuciones complementarias funcionarios,3693330,3693330,3578105.02
0340,1361,14100,,Otro personal,518280,518280,740934.63
0340,1361,16000,,Seguridad social a cargo del ayuntamiento,2540662,2540662,2495844.16
0340,1361,16500,,Cuotas elkarkidetza a cargo ayuntamiento,73509,73509,72705.5
0340,1361,21900,,Renovación y reposición de equipos,75000,75000,61982.66
0340,1361,22105,,Vestuario y uniformes,150000,150000,129476.04
0340,1361,22105,R,Vestuario y uniformes,0,77957.88,77957.88
0340,1361,22106,,Vestuario descontaminacion post-intervencion,0,184760,0
0340,1361,22111,,"Menaje, utiles y herramientas",25000,25000,10958
0340,1361,22199,,Otros suministros,20000,20000,35422.58
0340,1361,22699,,Otros gastos diversos,20000,20000,21895.08
0340,1361,62400,,Vehiculos,107500,132500,0
0340,1361,62901,,Adquisicion equipos,45000,20000,19522.44
0340,1361,62901,R,Adquisicion equipos,0,36381.75,36381.75
