#Orgánico,Funcional,Económico,R,Denominacion Aplicacion,Tot Credito inicial,Tot Credito Definitivo,Tot Obligado
0162,2391,22696,,Euskal Fondoaren kuota,11237.4,11237.4,11237.4
0162,2391,22699,,Lankidetzako bestelako hainbat gastu,16000.0,16000.0,5881.25
0162,2391,22704,,Kontratua: Azoka Txikia,25000.0,25000.0,0.0
0162,2391,22707,,Azterlanak eta lan teknikoak,36000.0,87571.67,24229.86
0162,2391,22799,,Kanpoko beste zenbait lan,30000.0,30000.0,20172.64
0162,2391,23002,,Joan-etorrietako gastuak,5000.0,5000.0,0.0
0162,2391,48200,,Lankidetzarako diru-laguntzak,1497262.6,1497262.6,288807.5
0162,2391,48205,,Hitzarmena: Larrialdietarako Arabako Funtsa,120000.0,120000.0,120000.0
0162,2391,48206,,Hitzarmena: RASD-ren lagunen elkartea,320000.0,320000.0,0.0
0162,2391,48207,,Hitzarmena: Euskal Fondoa,189000.0,189000.0,64000.0
0162,2391,48210,,Hitzarmena: Setem Hego Haizea,25000.0,25000.0,0.0
0162,2391,48211,,Hitzarmena: GGKEen koordinakundea,24000.0,24000.0,24000.0
0162,2391,48212,,Hitzarmena: AFINIS - oporrak bakean,16000.0,16000.0,16000.0
0162,2391,48213,,Hitzarmena: bidezko merkataritza,32000.0,32000.0,32000.0
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,156040.0,156040.0,101758.28
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,187871.0,187871.0,124295.18
0171,3351,14100,,Bestelako langileak,79574.0,79574.0,95612.81
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",127842.0,127842.0,99879.2
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7464.0,7464.0,4597.22
0171,3351,22741,,Gurasoentzako euskara eskolak,500000.0,500000.0,274518.18
0171,3351,22748,,Euskararen Astea,25000.0,25000.0,0.0
0171,3351,22780,,Euskara plana,180044.8,200044.8,23445.38
0171,3351,22780,R,Euskara plana,0.0,16577.04,6350.43
0171,3351,22799,,"Kanpoko itzulpenak, euskera",15000.0,15000.0,302.5
0171,3351,42302,,Hitzarmena: Merkataritza-ganbera,10500.0,10500.0,0.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,0.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,75000.0,75000.0,200.08
0171,3351,48003,,Euskaltegientzako diru-laguntzak,99000.0,99000.0,0.0
0171,3351,48005,,Euskararen Plan Nagusiko diru-laguntzak,120000.0,120000.0,0.0
0171,3351,48005,R,Euskararen Plan Nagusiko diru-laguntzak,0.0,1800.0,1800.0
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,77175.0
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500.0,10500.0,0.0
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,24255.0,24255.0,24255.0
0171,3351,48064,,Hitzarmena: Korrika,3465.0,3465.0,0.0
0171,3351,48100,,Hitzarmena Euskaltzaindiarekin,63000.0,63000.0,63000.0
0171,3351,48997,,Hitzarmena: Bai euskarari,23100.0,23100.0,23100.0
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000.0,1000.0,0.0
0180,9271,11000,,Kabineteko behin-behineko langileen ordainsariak,95397.0,95397.0,54253.13
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,59087.0,59087.0,39660.66
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,77258.0,77258.0,53814.75
0180,9271,14100,,Bestelako langileak,48995.0,48995.0,35225.54
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",83557.0,83557.0,59496.25
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2957.0,2957.0,2798.84
0180,9271,22603,,Argitalpenak eta publizitatea,0.0,650000.0,348663.66
0180,9271,22612,,Eguneko prentsa erostea,0.0,25000.0,15010.04
0180,9271,22616,,Prentsa-zerbitzuak,0.0,20000.0,11360.32
0180,9271,22631,,Erakundeetako parte-hartzea,0.0,28000.0,26503.07
0180,9271,22632,,Harpidetzak,0.0,4397.43,0.0
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0.0,107411.27,75597.45
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,0.0,180000.0,120516.36
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,0.0,20000.0,17779.14
0180,9271,22732,,Bideo-akten zerbitzuaren kontratua,0.0,59000.0,3734.4
0180,9271,62505,,Bestelako tresnak,0.0,2502.57,409.5
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,48979.0,48979.0,36547.07
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,63830.0,63830.0,47032.01
0181,2327,14100,,Bestelako langileak,62195.0,62195.0,42385.62
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",59299.0,59299.0,42206.09
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,520.44
0181,2361,22604,,Zurrumurruen kontrako estrategia,15000.0,15000.0,10231.9
0181,2361,22608,,Informazio- eta prestakuntza-programa,18000.0,18000.0,12467.9
0181,2361,22608,R,Informazio- eta prestakuntza-programa,0.0,10300.0,8512.4
0181,2361,22610,,Hiri Hezitzailea,23000.0,23000.0,16374.4
0181,2361,22613,,Itzulpena eta interpretazioa,20000.0,20000.0,10794.65
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,100000.0,200000.0,53168.52
0181,2361,48128,,Hitzarmena: Arabako Gorren Zentroa,20000.0,20000.0,20000.0
0181,2361,48901,,Diru-laguntza deialdi orokorra,65000.0,65000.0,52000.0
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,27000.0,27000.0,27000.0
0181,2361,48983,,Hitzarmena: Goian,100000.0,100000.0,100000.0
0181,2361,48984,,Desagertuen familientzako laguntzak,5000.0,5000.0,0.0
0181,2361,48985,,Diru-laguntzak: memoria historikoa,15000.0,15000.0,3200.0
0182,1741,60150,,Herrietako obrak,100000.0,200000.0,276.87
0182,1741,60150,R,Herrietako obrak,0.0,42596.48,42310.15
0182,1741,60700,,Nekazaritza Eremuko paisaia,20000.0,20000.0,0.0
0182,1741,60700,R,Nekazaritza Eremuko paisaia,0.0,8883.32,0.0
0182,1742,22700,,"Hondakinak jasotzea eta mantentze lanak, herrietan eta hilerrian",1400000.0,1400000.0,869042.99
0182,1743,21000,,Azpiegiturak eta ondasun naturalak,45000.0,45000.0,26659.78
0182,1743,21902,,"Baso-bide, landaketak eta naturguneak mantentzea",45000.0,45000.0,11909.82
0182,1743,21911,,Herrietako lorategiak onik zaintzea,260000.0,260000.0,176302.8
0182,1743,22111,,Tresnak eta lanabesak,12000.0,12000.0,257.68
0182,1743,22145,,Eremu hondatuak lehengoratzea,25000.0,25000.0,18836.05
0182,1743,72000,,"AFA, lursailen arteko bideak egitea",200000.0,100000.0,0.0
0182,1749,12000,,Funtzionarioen oinarrizko ordainsariak,128498.0,128498.0,75620.44
0182,1749,12100,,Funtzionarioen ordainsari osagarriak,202403.0,202403.0,129554.93
0182,1749,13000,,Lan-kontratudun langile finkoen ordainsariak,112563.0,112563.0,80116.09
0182,1749,14100,,Bestelako langileak,0.0,0.0,25343.8
0182,1749,16000,,"Gizarte Segurantza, enpresaren kontura",134480.0,134480.0,92087.97
0182,1749,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9399.0,9399.0,6051.85
0182,1749,48112,,Diru-laguntzak: Kontzejuen elkartea,115000.0,115000.0,115000.0
0182,1749,78919,,Diru-laguntzak: gizarte zentroak,40000.0,40000.0,20000.0
0187,9271,22603,,Argitalpenak eta publizitatea,650000.0,0.0,506.25
0187,9271,22612,,Eguneko prentsa erostea,25000.0,0.0,0.0
0187,9271,22616,,Prentsa-zerbitzuak,20000.0,0.0,0.0
0187,9271,22631,,Erakundeetako parte-hartzea,28000.0,0.0,0.0
0187,9271,22632,,Harpidetzak,4397.43,0.0,0.0
0187,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,108100.0,688.73,0.0
0187,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,200000.0,0.0,0.0
0187,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,20000.0,0.0,0.0
0187,9271,22732,,Bideo-akten zerbitzuaren kontratua,75000.0,0.0,0.0
0187,9271,22732,R,Bideo-akten zerbitzuaren kontratua,0.0,20176.75,20176.75
0187,9271,62505,,Bestelako tresnak,2502.57,0.0,0.0
0188,9251,12000,,Funtzionarioen oinarrizko ordainsariak,499779.0,499779.0,315675.34
0188,9251,12100,,Funtzionarioen ordainsari osagarriak,623523.0,623523.0,439123.21
0188,9251,14100,,Bestelako langileak,435023.0,435023.0,335668.15
0188,9251,16000,,"Gizarte Segurantza, enpresaren kontura",549835.0,549835.0,336506.7
0188,9251,16500,,"Elkarkidetzako kuotak, Udalaren kontura",24695.0,24695.0,17984.94
0188,9251,22201,,Herritarrei argibideak emateko sistema (010),610000.0,610000.0,335558.78
0188,9251,22707,,Azterlanak eta lan teknikoak,0.0,61000.0,2863.4
0188,9251,22746,,Kutxazain elektronikoak,61000.0,0.0,0.0
0188,9251,22747,,Banagailu elektronikoak,0.0,64800.0,641.3
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,100415.0,100415.0,64241.46
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,151094.0,151094.0,111401.25
0210,1502,14100,,Bestelako langileak,95496.0,95496.0,61210.45
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",73354.0,73354.0,51370.33
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5642.0,5642.0,4054.0
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,3500.0,3500.0,593.39
0210,1502,22111,,Tresnak eta lanabesak,0.0,0.0,1182.27
0210,1502,22707,,Laguntza teknikoak,4100.0,4100.0,0.0
0210,1502,22732,,Zerbitzuak emateko kontratuak,5000.0,5000.0,0.0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,0.0
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,193302.0,193302.0,108861.04
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,252983.0,252983.0,155040.29
0211,1511,14100,,Bestelako langileak,226749.0,226749.0,170694.06
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",180817.0,180817.0,121256.27
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9589.0,9589.0,6465.02
0211,1511,22732,,MASTERPLAN erdialdea,0.0,100000.0,0.0
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,160000.0,240748.0,89178.48
0211,1511,60201,,Kultur ondarerako plan berezia,0.0,50000.0,0.0
0211,1511,64201,,"HAPO, aldakuntzak",20000.0,20000.0,0.0
0211,1511,64202,,Eguneratze kartografikoak,40500.0,30498.66,5477.65
0211,1511,64203,,Ordainsariak,20000.0,20000.0,1029.35
0211,1511,64206,,HAPO berrikustea,404000.0,503228.62,0.0
0211,1511,64206,R,HAPO berrikustea,0.0,240000.0,0.0
0211,1511,64208,,Erdi Aroko hiriguneko plan berezia berrikustea,0.0,50000.0,0.0
0211,1511,64215,,"Akordio estrajudiziala, GSDNren lurzoruak okupatzea",118686.36,118686.36,0.0
0211,1513,71101,,21 Zabalguneari - ARICHen higiezinen gastuak,30000.0,42000.0,0.0
0213,1502,22730,,Argitalpen funtsak gordetzeko zerbitzua,10000.0,10000.0,3834.52
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,291663.0,291663.0,164514.59
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,374880.0,374880.0,252629.88
0213,1512,14100,,Bestelako langileak,92816.0,92816.0,137808.44
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",190732.0,190732.0,154935.69
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",13943.0,13943.0,8222.69
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,135314.46,135314.46,593.68
0213,1512,22620,R,Lan subsidiarioak eta eskoratzeak,0.0,59883.8,5217.54
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,0.0,150000.0,0.0
0214,1502,62901,,Tresneria erostea,1000.0,1000.0,142.5
0214,1502,64201,,Azterlanak eta proiektuak,30000.0,30000.0,2985.07
0214,1502,64516,,Gasteiz antzokia,300000.0,300000.0,2299.0
0214,1502,64516,R,Gasteiz antzokia,0.0,20570.0,20570.0
0214,3421,60180,,Sansomendiko agorespacea,1.0,1.0,0.0
0214,3421,62256,,Pilotalekuak Adurtza eta San Ignazion,110000.0,110000.0,52544.34
0214,3421,62256,R,Pilotalekuak Adurtza eta San Ignazion,0.0,106225.4,106225.4
0214,3421,62257,,Beti Jai frontoiak,150000.0,150000.0,0.0
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,207076.0,207076.0,131402.55
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,257894.0,257894.0,182022.25
0214,9211,13000,,Lan-kontratudun langile finkoen ordainsariak,30395.0,30395.0,35448.28
0214,9211,14100,,Bestelako langileak,121347.0,121347.0,88212.98
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",166613.0,166613.0,123567.25
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8844.0,8844.0,6652.7
0214,9211,62215,,Udal ondareko inbertsioak,15000.0,15000.0,8989.32
0214,9211,62270,,Judimendi - Santa Luzia adinekoentzako zentro soziokulturala,225000.0,40000.0,0.0
0214,9211,62271,,San Martineko adinekoentzako zentro soziokulturala,300000.0,300000.0,0.0
0214,9211,62278,,Udal txakurtegia,100000.0,100000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,200000.0,50000.0,0.0
0214,9211,62923,,Auzoetako ekipo eta zerbitzuak,50000.0,0.0,0.0
0214,9211,64325,,Silo aparkalekuaren proiektua,85000.0,107001.34,107001.3
0214,9211,64325,R,Silo aparkalekuaren proiektua,0.0,188501.03,188501.03
0214,9211,64326,,Hirigunea biziberritzeko plana,50000.0,771.38,0.0
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,146166.0,146166.0,99756.8
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,188725.0,188725.0,134908.57
0216,1502,14100,,Bestelako langileak,121847.0,121847.0,72515.12
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",117327.0,117327.0,87168.26
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8139.0,8139.0,5492.15
0320,1301,11000,,Kabineteko behin-behineko langileen ordainsariak,81624.0,81624.0,58528.06
0320,1301,12000,,Funtzionarioen oinarrizko ordainsariak,47627.0,47627.0,33066.77
0320,1301,12100,,Funtzionarioen ordainsari osagarriak,52060.0,52060.0,39238.56
0320,1301,16000,,"Gizarte Segurantza, enpresaren kontura",35734.0,35734.0,26491.97
0320,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4164.0,4164.0,2991.8
0325,1331,12000,,Funtzionarioen oinarrizko ordainsariak,137743.0,137743.0,86636.39
0325,1331,12100,,Funtzionarioen ordainsari osagarriak,173292.0,173292.0,121295.85
0325,1331,14100,,Bestelako langileak,269928.0,269928.0,213006.75
0325,1331,16000,,"Gizarte Segurantza, enpresaren kontura",181367.0,181367.0,142267.86
0325,1331,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7992.0,7992.0,6456.26
0325,1331,20200,,Aparkalekuak mantendu eta arautzea,230000.0,230000.0,123999.76
0325,1331,21050,,Seinaleztapena onik zaintzea,150000.0,150000.0,27017.32
0325,1331,21910,,Trafikoa kontrolatzeko sistema mantentzea,1274116.38,1254116.38,807119.47
0325,1331,22105,,TAO agenteen aldagela,15000.0,15000.0,1914.48
0325,1331,60107,,Zirkulazioa kontrolatzeko sistema,15000.0,15000.0,0.0
0325,1331,62901,,Tresneria erostea,15000.0,15000.0,0.0
0330,1301,12000,,Funtzionarioen oinarrizko ordainsariak,360467.0,360467.0,223447.31
0330,1301,12100,,Funtzionarioen ordainsari osagarriak,512074.0,512074.0,336292.07
0330,1301,14100,,Bestelako langileak,102198.0,102198.0,93978.92
0330,1301,16000,,"Gizarte Segurantza, enpresaren kontura",265356.0,265356.0,194390.86
0330,1301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",14367.0,14367.0,7243.0
0340,1351,21102,,Larrialdi eta elurteetako gastuak,150000.0,150000.0,133805.1
0340,1351,22701,,Jaietako gastu operatibo sanitarioak,10000.0,13000.0,11457.38
0340,1361,12000,,Funtzionarioen oinarrizko ordainsariak,1571294.0,1571294.0,990308.98
0340,1361,12100,,Funtzionarioen ordainsari osagarriak,3161330.0,3161330.0,2294971.11
0340,1361,14100,,Bestelako langileak,506757.0,506757.0,430782.87
0340,1361,16000,,"Gizarte Segurantza, enpresaren kontura",1861611.0,1861611.0,1483000.46
0340,1361,16500,,"Elkarkidetzako kuotak, Udalaren kontura",68345.0,68345.0,45245.52
0340,1361,21000,,Azpiegituren mantenimendua,8000.0,0.0,0.0
0340,1361,21300,,Ibilgailuak konpontzea,65000.0,65000.0,45466.68
0340,1361,21900,,Ekipoak berritzea eta erostea,40000.0,80000.0,15244.43
0340,1361,22105,,Jantziak eta uniformeak,75000.0,90000.0,40125.07
0340,1361,22111,,Tresna eta lanabesak,20000.0,40000.0,8551.27
0340,1361,22199,,Bestelako hornikuntzak,30000.0,30000.0,24267.61
0340,1361,22699,,Bestelako hainbat gastu,10000.0,10000.0,2789.78
0340,1361,62400,,Ibilgailuak,0.0,140000.0,0.0
0340,1361,62401,R,Altuerako ibilgailua —autoeskailera— erostea,0.0,700000.0,0.0
0350,1321,12000,,Funtzionarioen oinarrizko ordainsariak,5794635.0,5794635.0,3839934.43
0350,1321,12100,,Funtzionarioen ordainsari osagarriak,10574745.0,10574745.0,8008731.29
0350,1321,16000,,"Gizarte Segurantza, enpresaren kontura",4404228.0,4404228.0,3424213.57
0350,1321,16500,,"Elkarkidetzako kuotak, Udalaren kontura",236890.0,236890.0,188096.29
0350,1321,20501,,TETRA irratikomunikazio sistemaren rentinga,9000.0,9000.0,4993.94
0350,1321,21001,,Andre Maria Zuriaren jaietako segurtasuna,2997.07,2997.07,1478.98
0350,1321,21300,,Ibilgailuak konpontzea,75000.0,75000.0,33544.29
0350,1321,21900,,Ekipoak berritzea eta erostea,40000.0,40000.0,23246.53
0350,1321,21905,,Segurtasun scannerra eta USPa onik zaintzea,7500.0,7500.0,2121.74
0350,1321,22105,,Jantziak eta uniformeak,150000.0,155000.0,10225.84
0350,1321,22111,,Tresna eta lanabesak,10000.0,30000.0,1855.61
0350,1321,22199,,Bestelako hornikuntzak,15000.0,15000.0,27322.23
0350,1321,22699,,Bestelako hainbat gastu,25000.0,25000.0,7305.32
0350,1321,22707,,Bide-segurtasuneko Plana,35000.0,30000.0,0.0
0350,1321,22707,R,Bide-segurtasuneko Plana,0.0,27709.0,27709.0
0350,1321,62400,,Ibilgailuak,30000.0,30000.0,0.0
0350,1321,62501,,Altzariak,3000.0,3000.0,2999.75
0350,1321,62901,,Tresneria eta instalazioak erostea,7000.0,7000.0,1822.1
0350,1331,62904,,NARCOTEST ekipoak erostea,0.0,5000.0,5826.21
0410,0111,32201,,Epe laburreko maileguen interesak,194200.0,74200.0,5995.36
0410,0111,33201,,Epe luzeko maileguen interesak,985381.0,875732.59,333319.62
0410,0111,93300,,Epe luzeko maileguen amortizazioa,17540850.0,17540850.0,14100860.43
0410,1513,73102,,Ingurugiro Gaietarako Ikastegiari,30000.0,30000.0,0.0
0410,1513,73310,,21. Zabalguneari: urrezko auzoetako inbertsioak,360666.67,360666.67,360666.67
0410,1722,43102,,Ingurugiro Gaietarako Ikastegiari,2377985.0,2391978.23,1440784.23
0410,4411,21705,,Autobus elektrikoak mantentzeko lanak,0.0,0.0,0.0
0410,4411,43300,,"Ekarpena, TUVISAri",13880449.59,13635949.59,11104400.0
0410,4411,47122,,"AFA eta Parke teknologikoarekiko hitzarmena, bidaiarien garraiorako",20000.0,20000.0,0.0
0410,4411,73300,,TUVISAri,850000.0,753116.0,0.0
0410,4421,62953,R,Autobus-geltokiko tresneriako inbertsioak,0.0,19306.55,19306.39
0410,9205,20301,,Ibilgailuen rentinga,410000.0,400000.0,172326.3
0410,9205,21300,,Ibilgailuak konpontzea,175000.0,175000.0,118522.09
0410,9205,22104,,Erregaiak,300000.0,300000.0,135600.7
0410,9205,22404,,Ibilgailuen aseguruak,138000.0,138000.0,48765.72
0410,9205,62400,,Ibilgailuak,140000.0,140000.0,43489.0
0410,9205,62400,R,Ibilgailuak,0.0,59653.0,59653.0
0410,9205,62402,R,Garabi-kamioia erostea,0.0,111925.0,111925.0
0410,9206,21400,,Altzariak konpontzea,4000.0,4000.0,0.0
0410,9206,21500,,Ekipoak mantentzeko kontratuak,170000.0,170000.0,72204.31
0410,9206,22001,,"Ohikoa, inbentariatu ezina",200000.0,200000.0,99519.07
0410,9206,62501,,Altzariak,10000.0,10000.0,3064.98
